Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
S&atilde;o Louren&ccedil;o,3163706,s&atilde;o-lourenciano,WALTER JOS&Eacute; LESSA,58.019,44798,772.13,46653,98.79,0.759,8.75,350124212.49,327260626.33,25310.43,
S&atilde;o Miguel do Anta,3163805,s&atilde;o-miguelense,VICENTE PATR&Iacute;CIO DE SOUZA J&Uacute;NIOR,152.111,6334,41.64,6430,99.06,0.644,18.18,40296975.68,35975327.08,15122.87,
S&atilde;o Pedro da Uni&atilde;o,3163904,s&atilde;o-pedrense,RONALDO APARECIDO DIAS,260.827,4885,18.73,4979,98.55,0.674,-,43967393.29,37275450.14,32471.15,
S&atilde;o Pedro dos Ferros,3164001,ferrense,DANILO CALDARELE DIAS,402.739,7166,17.79,7194,99.07,0.659,-,35204656.34,32904475.55,17606.8,
S&atilde;o Pedro do Sua&ccedil;u&iacute;,3164100,s&atilde;o-pedrense,EUZ&Eacute;BIO TEIXEIRA DE SOUZA,308.106,5103,16.56,5166,99.29,0.622,-,39516120.56,34293678.45,15850.23,
S&atilde;o Rom&atilde;o,3164209,s&atilde;o-romano,ALLAN SOARES CARDOSO,2434.004,10315,4.24,10553,100,0.640,-,77407619.63,75026245.54,19123.79,
S&atilde;o Roque de Minas,3164308,s&atilde;o-roquense,BELCHIOR DOS REIS FARIA,2098.867,7129,3.40,7341,98.13,0.672,-,59949828.97,52624351.06,45519.05,
S&atilde;o Sebasti&atilde;o da Bela Vista,3164407,bela-vistense,AUGUSTO HART FERREIRA,167.428,6387,38.15,6694,99.43,0.692,-,50207865.69,45281233.73,79135.44,
S&atilde;o Sebasti&atilde;o da Vargem Alegre,3164431,s&atilde;o sebasti&atilde;o vargem alegrense,ARCEDINO JOSE DE ALMEIDA,73.629,3113,42.28,3219,99.08,0.660,-,44056545.26,45150374.4,21986.02,
S&atilde;o Sebasti&atilde;o do Anta,3164472,antense,OSMANINHO CUST&Oacute;DIO DE MELO,80.618,6194,76.83,6386,98.57,0.607,13.33,46465042.36,42982551.34,15565.34,
S&atilde;o Sebasti&atilde;o do Maranh&atilde;o,3164506,maranhense,SABRINA MESQUITA LIMA,517.830,10079,19.46,10244,99.53,0.581,-,55865344.95,44500767.28,10199.95,
S&atilde;o Sebasti&atilde;o do Oeste,3164605,sebastianense,ROMULO RONCALLY BEIRIGO,408.090,8815,21.60,9355,100,0.626,19.23,69418417.14,65578956.44,85924.5,
S&atilde;o Sebasti&atilde;o do Para&iacute;so,3164704,paraisense,MARCELO DE MORAIS,814.925,71796,88.10,74742,99.12,0.722,9.6,441747011.22,434631105.15,31099.51,
S&atilde;o Sebasti&atilde;o do Rio Preto,3164803,s&atilde;o-sebastianense,ANDREA APARECIDA OTONE DE SOUZA,128.002,1259,9.84,1248,96.9,0.632,-,27904839.2,29387031.29,17571.23,
