Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Cascalho Rico,3115003,cascalho-riquense,D&Aacute;RIO BORGES DE REZENDE,367.308,2712,7.38,2757,100,0.721,34.48,49531759.22,33471625.85,25741.18,
C&aacute;ssia,3115102,cassiense,DONIZETE VILELA,665.802,17155,25.77,17495,99.09,0.704,17.96,102566360.49,96221280.69,24600.35,
Concei&ccedil;&atilde;o da Barra de Minas,3115201,conceicionense,FERNANDO LELLIS PALUMBO,273.014,3560,13.04,3596,99.06,0.685,-,36084404.33,29439707.51,17449.47,
Cataguases,3115300,cataguasense,JOSE IN&Aacute;CIO PEIXOTO PARREIRAS HENRIQUES,491.767,66261,134.74,67872,99.05,0.751,15.49,291087666.46,276993684.24,21748.3,
Catas Altas,3115359,catas-altense,SAULO MORAIS DE CASTRO,240.042,5473,22.80,5668,98.88,0.684,42.25,94552859.9,141903123.22,920833.97,
Catas Altas da Noruega,3115409,catas-altense,PAULO LADISLAU BATISTA,141.622,3110,21.96,3141,98.89,0.600,35.71,30365053.53,27919813.89,11130.5,
Catuji,3115458,catujiense,MARIA JOS&Eacute; DE OLIVEIRA,419.380,7030,16.76,7226,99.28,0.540,17.7,50329800.82,47627596.43,13420.7,
Catuti,3115474,catutiense,DELERMANDO DO NASCIMENTO FRAN&Ccedil;A,287.812,4739,16.47,4805,99.33,0.621,31.75,37717186.25,33460220.51,11497.57,
Caxambu,3115508,caxambuense,LUIZ HENRIQUE DIORIO DE SOUZA,100.483,21056,209.55,21436,100,0.743,5.08,113178575.86,110400760.31,17204.61,
Cedro do Abaet&eacute;,3115607,cedrense,JOS&Eacute; ROSA FILHO,283.211,1081,3.82,1091,100,0.678,-,30393533.81,25924440.59,19483.63,
Central de Minas,3115706,centralense,GILBERTO FERREIRA DA CUNHA,204.328,6171,30.20,6243,100,0.665,14.49,58550059.45,45404858.2,12334.73,
Centralina,3115805,centralinense,OSCAR LUIS FELDNER DE BARROS ARAUJO CUNHA,322.385,10207,31.66,10440,100,0.678,10.2,71787993.34,61949186.32,33942.79,
Ch&aacute;cara,3115904,chacarense,JUCELIO FERNANDES DE OLIVEIRA,152.807,3075,20.12,3177,97.77,0.664,-,41112415.23,37602137.18,14661.46,
Chal&eacute;,3116001,chaleense,SEBASTI&Atilde;O RODRIGUES,212.674,6075,28.56,6261,97.93,0.655,-,42618608.76,40496287.75,20049.37,
Chapada do Norte,3116100,chapadense,LEANDRO EVANGELISTA DO SOCORRO,830.833,10337,12.44,10024,100,0.598,68.97,80922535.53,77696019.68,7247.1,
Chapada Ga&uacute;cha,3116159,chapadense,JOSE RONE RODRIGUES PEREIRA,3255.189,12355,3.80,12810,99.25,0.635,20.92,92229253.53,81459962.54,28354.63,
Chiador,3116209,chiadorense,ITIBERE RODRIGUES DOS SANTOS,252.852,2800,11.07,2865,97.44,0.711,-,41391042.69,35781136.08,14020.88,
Cipot&acirc;nea,3116308,cipotanense,ROBERTO HENRIQUES DE OLIVEIRA,153.479,5581,36.36,5599,98.75,0.579,21.74,34529464.18,31113764.85,10762.85,
Claraval,3116407,claravalense,JOS&Eacute; REINALDO CINTRA,227.627,4658,20.46,4777,97.26,0.698,-,41547770.68,39140787.13,37352.16,
Claro dos Po&ccedil;&otilde;es,3116506,claro-pocense,JOS&Eacute; VANDERLEI CARDOSO,720.424,7166,9.95,7259,100,0.670,29.85,44070809.04,38856110.66,11196.9,
Cl&aacute;udio,3116605,claudiense,JOS&Eacute; RODRIGUES BARROSO DE ARA&Uacute;JO,630.706,30159,47.82,31665,99.6,0.709,7.33,167247955.12,151978416.43,38451.85,
Coimbra,3116704,coimbraense,MAURILIO DIAS MASSENSINI,106.875,7117,66.59,7285,98.45,0.669,-,47721611.19,43955779.41,18325.94,
Coluna,3116803,colunense,NILSON ROCHA DOS ANJOS,348.492,8163,23.42,8251,99.03,0.583,23.53,41105033.42,43270224.93,13756.65,
Comendador Gomes,3116902,comendadorense,REGINALDO DA SILVA,1041.047,2773,2.66,2813,100,0.697,27.78,45457650.32,39762303.04,49491.51,
Comercinho,3117009,comerciense,EDNALVES ALVES COSTA,654.961,6660,10.17,6627,99.5,0.593,45.45,43672943.83,39522897.2,10285.11,
Concei&ccedil;&atilde;o da Aparecida,3117108,aparecidense,JOSE ANTONIO FERREIRA,352.521,10371,29.42,10668,98.24,0.691,-,63322611.93,53778407.14,26487.93,
Concei&ccedil;&atilde;o das Pedras,3117207,pedrense,BENEDITO CARLOS PEREIRA,102.206,2772,27.12,2837,95.62,0.668,-,31321573.06,26191251.65,21692.56,
Concei&ccedil;&atilde;o das Alagoas,3117306,garimpense,CELSON PIRES DE OLIVEIRA,1340.250,28381,21.18,29949,98.21,0.712,12.08,213980372.06,210212675.14,45805.26,
Concei&ccedil;&atilde;o de Ipanema,3117405,ipanemense,WILIAN FRANCISCO DE SOUZA,253.935,4409,17.36,4503,100,0.676,-,38273164.68,40349306.69,17685.15,
Concei&ccedil;&atilde;o do Mato Dentro,3117504,conceicionense,OTAC&Iacute;LIO NETO COSTA MATTOS,1720.040,23163,13.47,24254,98.84,0.634,19.55,733676656.35,560412420.33,519040.92,
Concei&ccedil;&atilde;o do Par&aacute;,3117603,concei&ccedil;&atilde;o-paraense,WESLEY MOREIRA LIMA,250.306,5415,21.63,5567,100,0.700,-,55464574.58,56430656.88,88902.87,
Concei&ccedil;&atilde;o do Rio Verde,3117702,conceicionense,CRISTIANO HENRIQUE CUSTODIO,369.681,12541,33.92,12780,98.33,0.665,7.25,81724548.77,73679771.82,25025.75,
Concei&ccedil;&atilde;o dos Ouros,3117801,ourense,LUIS FERNANDO ROSA DE CASTRO,180.236,10880,60.37,11183,98.71,0.703,-,63679023.98,59441978.13,18994.87,
C&ocirc;nego Marinho,3117836,c&ocirc;nego marinhense,CLORISVAN LIMA MADUREIRA,1610.469,7237,4.49,7420,100,0.621,11.11,44471820.98,39603181.08,8212.18,
Confins,3117876,confinense,GERALDO GON&Ccedil;ALVES DOS SANTOS,42.462,7350,173.53,7676,99.33,0.747,12.05,85152519.5,78989847.44,70734.21,
Congonhal,3117900,congonhalense,RUBENS VILELA DOS SANTOS JUNIOR,205.125,11083,54.03,11403,99.4,0.712,15.04,60685711.72,54046746.54,18053.14,
Congonhas,3118007,congonhense,ANDERSON COSTA CABIDO,304.067,52890,173.94,54986,98.94,0.753,13.29,1086747890.67,1293831220.94,73709.5,
Congonhas do Norte,3118106,norte-congonhense,FABRICIO APARECIDO OTONI,405.671,4831,11.91,4927,98.04,0.568,19.23,38821874.69,36434354.13,9768.27,
Conquista,3118205,conquistense,BR&Aacute;ULIO QUEIROGA DE MOURA FILHO,618.363,6694,10.83,6864,99.51,0.729,13.89,66524752.54,60667648.06,70049.61,
Conselheiro Lafaiete,3118304,lafaietense,LEANDRO TADEU MURTA DOS REIS CHAGAS,370.246,131621,355.50,137980,98.81,0.761,7.4,551758177.68,527042276.09,23881.55,
Conselheiro Pena,3118403,conselheiro-penense,N&Aacute;DIA FILOMENA DUTRA FRAN&Ccedil;A,1483.883,20824,14.03,21113,99.67,0.662,15.75,123589402.6,114868854.96,16708.53,
Consola&ccedil;&atilde;o,3118502,consolense,ROGILSON APARECIDO MARQUES NOGUEIRA,89.122,1563,17.54,1578,100,0.673,83.33,29719789.26,30170951.71,17609.85,
Contagem,3118601,contagense,MARILIA APARECIDA CAMPOS,194.732,621863,3193.20,649975,98.69,0.756,11.53,4079591893.57,3868907601.96,54136.41,
Coqueiral,3118700,coqueirense,RENATO OLIVEIRA MARQUES,296.163,9023,30.47,9197,98.4,0.694,10.87,56292053.42,50729599.12,25735.37,
Cora&ccedil;&atilde;o de Jesus,3118809,corjesuense,SAMUEL BARRETO NETO,2225.216,25377,11.40,26151,99.31,0.642,4.02,126128503.15,122541559.75,10251.33,
Cordisburgo,3118908,cordisburguense,ALDAIR MARQUES MARTINS,823.654,7547,9.16,7592,100,0.656,15.38,41928594.73,42266825.81,16419.95,
Cordisl&acirc;ndia,3119005,cordislandense,JOS&Eacute; ODAIR DA SILVA,179.543,3200,17.82,3247,100,0.660,31.25,31117613.01,28838539.62,32084.04,
Corinto,3119104,corintiano,EVALDO PAULO DOS REIS,2525.397,23532,9.32,23996,99.36,0.680,26.62,138512482.68,127176657.42,25937.03,
Coroaci,3119203,coroaciense,RONEY ALVES DE BRITO,576.274,10884,18.89,11200,100,0.626,-,43577515.36,39214387.22,12690.02,
Coromandel,3119302,coromandelense,FERNANDO BRENO VALADARES VIEIRA,3313.313,28894,8.72,30013,97.68,0.708,13.42,198237041.03,166387779.38,54911.1,
Coronel Fabriciano,3119401,fabricianense,SADI LUCCA,221.252,104736,473.38,108551,98.59,0.755,10.64,542777425.74,501836595.81,18029.42,
Coronel Murta,3119500,murtense,JOSE AILTON FREIRE JARDIM,815.413,8200,10.06,8283,100,0.627,-,49258031.35,45192133.72,13016.09,
Coronel Pacheco,3119609,pachequense,MARCOS AURELIO VAL&Eacute;RIO VEN&Acirc;NCIO,131.511,2762,21.00,2799,100,0.669,-,34273746.6,28774484.42,19419.15,
Coronel Xavier Chaves,3119708,xavierense,SIDINEI RESENDE PAIVA,140.954,3486,24.73,3586,100,0.677,-,37407409.15,35375154.2,26367.67,
C&oacute;rrego Danta,3119807,c&oacute;rrego-dantense,EDNEI MARTINS DE MATOS,657.425,2960,4.50,2978,100,0.692,-,32268347.16,30453736.3,52273.69,
C&oacute;rrego do Bom Jesus,3119906,correguense,JO&Atilde;O GABRIEL DIAS RIBEIRO,123.651,4272,34.55,4429,100,0.692,-,37399324.77,32253399.37,12384.73,
C&oacute;rrego Fundo,3119955,corregofundense,DANILO OLIVEIRA CAMPOS,101.112,6133,60.66,6310,99.5,0.678,-,60421553.54,53361809.24,49904.63,
C&oacute;rrego Novo,3120003,c&oacute;rrego-novense,ELON DE OLIVEIRA FERRARI,205.385,2875,14.00,2912,100,0.632,83.33,41040891.49,37499476.39,14332.74,
Couto de Magalh&atilde;es de Minas,3120102,couto-magalhense,JOSE EDUARDO DE PAULA RABELO,485.654,4245,8.74,4346,99.51,0.659,71.43,36552460.56,34073127.63,14262.94,
Cris&oacute;lita,3120151,crisolitense,RONALDO COSTA FARIAS,966.202,5265,5.45,5296,99.49,0.585,15.63,45569083.48,39936614.15,11215.05,
Cristais,3120201,cristalense,CELIO ELIAS PIRES,628.434,12197,19.41,12576,97.88,0.692,-,77221046.42,70727080.84,22628.65,
Crist&aacute;lia,3120300,cristalense,JAIRO DE MATOS BORGES J&Uacute;NIO,840.702,5121,6.09,5165,99.6,0.583,-,40622971.79,49434201.12,9875.05,
Cristiano Otoni,3120409,cristianense,CARLOS ROBERTO DE REZENDE,132.872,4667,35.12,4735,97.15,0.695,17.54,40089731.06,34288495.29,23967.13,
Cristina,3120508,cristinense,MARCIO BARROS RIBEIRO,311.330,10374,33.32,10627,99.05,0.668,-,55879212.78,50475428.66,22906.28,
Crucil&acirc;ndia,3120607,crucilandense,ELIZANGELA CRISTINA LARA DINIZ,167.164,5434,32.51,5633,90.59,0.651,-,52325199.49,41304926.4,16383.73,
Cruzeiro da Fortaleza,3120706,cruzeirense,ANTONIO CORTES DE ALMEIDA,187.446,3521,18.78,3610,99.42,0.696,-,47861961.88,49265205.95,50408.9,
Cruz&iacute;lia,3120805,cruzilense,JOAQUIM JOSE PARANAIBA,522.419,15362,29.41,15779,99.38,0.695,13.16,79906460.67,71743822.25,20461.59,
Cuparaque,3120839,cuparaquense,ROGERIO VICENTE MENDES,226.750,3983,17.57,3994,98.91,0.627,35.09,46044792.62,43511891.5,14734.12,
Curral de Dentro,3120870,curraldentense,ADAILDO ROCHA MOREIRA,570.950,7406,12.97,7630,99.11,0.585,-,47037521.54,47508496.44,10226.6,
Curvelo,3120904,curvelano,LUIZ PAULO GL&Oacute;RIA GUIMAR&Atilde;ES,3296.200,80665,24.47,83862,99.73,0.713,6.41,417245947.86,401084932.77,27509.61,
Datas,3121001,datense,NARLISSON DE JESUS MARTINS,310.099,5465,17.62,5618,99.59,0.616,39.47,40700139.25,38107837.77,13618.93,
Delfim Moreira,3121100,delfinense,EDILBERTO MARQUES DA CRUZ,408.473,7952,19.47,8130,100,0.669,25,43548526.21,43496786.03,15700.68,
Delfin&oacute;polis,3121209,delfinopolitano,PEDRO PAULO PINTO,1378.423,8393,6.09,8760,94.38,0.740,11.63,71195954.23,62747908.77,34599.14,
Delta,3121258,deltense,LERIANE DE SOUZA,102.784,10494,102.10,11003,98.65,0.639,8.33,88089248.55,81412316.6,42456.49,
Descoberto,3121308,descobertense,LUIS FERNANDO DE OLIVEIRA,213.168,4928,23.12,5058,99.24,0.680,22.73,38636957.13,40853595.83,16206.3,
Desterro de Entre Rios,3121407,desterrense,WAGNO ALMEIDA DUARTE,377.165,7653,20.29,7900,99.5,0.639,-,58982168.76,57396607.75,35948.85,
Desterro do Melo,3121506,melense,EDIMAR COELHO DA SILVA,142.279,2994,21.04,3059,100,0.631,-,36438339.7,28454956.41,17657.89,
Diamantina,3121605,diamantinense,GEFERSON GIORDANI BURGARELLI,3891.659,47702,12.26,49353,99.13,0.716,10.99,392988411.05,380000967.04,20537.92,
Diogo de Vasconcelos,3121704,vasconcelense,JO&Atilde;O CLAUDIO DE SOUZA,165.091,3549,21.50,3596,100,0.601,-,37759024.01,34308419.03,11363.34,
Dion&iacute;sio,3121803,dionisiano,MARCINY MARTINS PEREIRA,339.375,6847,20.18,6789,99.62,0.702,35.09,46160122.12,41561479.72,12128.99,
Divin&eacute;sia,3121902,divinesiano,CIRLEI ELIZABETE DE FREITAS,116.970,4226,36.13,4426,99.59,0.657,27.78,40713812.22,35389491.54,18575.93,
Divino,3122009,divinense,MAURI VENTURA DO CARMO,337.776,20706,61.30,21329,97.15,0.605,9.9,100316246.24,87961899.92,15957.14,
Divino das Laranjeiras,3122108,divinense,REINALDO ASSIS ROMUALDO DOS SANTOS,342.249,4178,12.21,4186,98.98,0.661,-,37202173.49,33353762.13,12416.03,
Divinol&acirc;ndia de Minas,3122207,divinolandense,GEUBER DE PINHO CAMPOS,133.120,6516,48.95,6607,97.97,0.623,27.78,45558741.31,40282898.32,10750.55,
Divin&oacute;polis,3122306,divinopolitano,GLEIDSON GONTIJO AZEVEDO,708.115,231091,326.35,242328,98.77,0.764,10.65,1294270086.22,1240541229,34355.36,
Divisa Alegre,3122355,divisalegrense,ADEMIR ALVES,117.802,6321,53.66,6513,99.26,0.608,-,49938541.71,40827731.34,25656.27,
Divisa Nova,3122405,divisa-novense,JOS&Eacute; LUIZ DE FIGUEIREDO,216.955,5851,26.97,5993,99.51,0.670,-,44244893.6,36856172.15,21452.98,
Divis&oacute;polis,3122454,divisopolense,EUDER DE LIMA ROSEMBERG MENDES,572.926,10213,17.83,10585,99.52,0.609,-,55549985.84,50924768.88,8178.51,
Dom Bosco,3122470,dom bosquense,NELSON PEREIRA DE BRITO,817.383,3697,4.52,3767,99.38,0.673,-,38220020.15,35762300.1,19065.15,
Dom Cavati,3122504,dom-cavatiano,JADSON NASCIMENTO BRAZ,59.520,4904,82.39,4981,99.36,0.688,20,36343032.18,32110510.77,13860.37,
Dom Joaquim,3122603,dom-joaquinense,HUENERSON HENRIQUE CELESTINO,398.793,4899,12.28,5051,100,0.622,38.46,46961717.87,44650816.24,15289.15,
Dom Silv&eacute;rio,3122702,dom-silveriense,JOS&Eacute; BR&Aacute;ULIO ALEIXO,194.972,5228,26.81,5350,100,0.709,23.81,40094616.26,34478049.89,20648.91,
Dom Vi&ccedil;oso,3122801,dom-vi&ccedil;osense,FRANCISCO DIVINO GOMES CAMARGO,113.921,3095,27.17,3176,100,0.687,-,30326914.25,28519382.85,13052.06,
Dona Euz&eacute;bia,3122900,donaeuzebense ou donaeuzebiense,ADEILTON PASCOALINE MAGALH&Atilde;ES,70.231,6093,86.76,6241,100,0.701,-,43911765.82,35628727.36,16492.38,
Dores de Campos,3123007,dorense,MARCIO ANTONIO PINHEIRO,124.842,10007,80.16,10313,97.54,0.686,-,51519807.81,49255864.75,31116.02,
Dores de Guanh&atilde;es,3123106,dorense,WELERSON ULTIMO DE SOUZA,382.124,5029,13.16,5121,100,0.636,-,46127731.14,42503847.52,37105.01,
Dores do Indai&aacute;,3123205,dorense,ALEXANDRO CO&Ecirc;LHO FERREIRA,1111.202,12630,11.37,12786,99.26,0.719,-,95195985.58,85899351.29,26339.03,
Dores do Turvo,3123304,dorense,KALLIL DAHIER MOREIRA CUNHA,231.169,4987,21.57,5159,100,0.629,18.18,37985618.65,34737302.85,15908.49,
Dores&oacute;polis,3123403,doresopolitano,VALDIR DA COSTA LOPES,152.912,1461,9.55,1496,100,0.692,62.5,34669508.85,30226167.28,54667.85,
Douradoquara,3123502,douradoquarense,FLAVIO RESENDE DE SOUSA,312.878,1829,5.85,1869,100,0.706,-,28097368.29,24552007.21,41427.06,
Durand&eacute;,3123528,durandeense,RENATO PAIVA CAMPOS,217.461,7817,35.95,8038,99.7,0.645,32.79,41107167.67,35473101.58,15560.07,
El&oacute;i Mendes,3123601,el&oacute;i-mendense,NATAL DONIZETTI CADORINI,499.537,26336,52.72,27343,98.46,0.685,15.43,140336853.14,129743619.64,24720.9,
Engenheiro Caldas,3123700,engenheiro-caldense,CLAUDINEI MARTINS VASCONCELOS,187.058,13622,72.82,14308,99.35,0.644,18.18,70209382.25,65959990.96,13936.2,
Engenheiro Navarro,3123809,navarrense,HUGO FELIPE DE ALMEIDA SILVA,608.306,6354,10.45,6411,100,0.655,16.95,43949989.05,42066780.4,12715.66,
Entre Folhas,3123858,entrefolhense,MARCOS ANTONIO MARQUES,85.390,5179,60.65,5293,99.23,0.634,15.63,39163160.24,37650983.13,12061.39,
Entre Rios de Minas,3123908,entrerrianos,THIAGO ITAMAR SANTOS VILLA&Ccedil;A,456.796,14746,32.28,15120,97.47,0.672,17.44,80094850.1,70743601.71,17481.31,
Erv&aacute;lia,3124005,ervalense,JOS&Eacute; MAURO GODINHO,357.489,20255,56.66,20951,99.47,0.625,9.13,107352911.71,99861335.11,21529.87,
Esmeraldas,3124104,esmeraldense,MARCELO NONATO FIGUEIREDO,909.727,85598,94.09,91573,98.12,0.671,18.95,351444486.18,358698647.77,13419.92,
Espera Feliz,3124203,esperafelicense,OZIEL GOMES DA SILVA,317.638,24102,75.88,24761,87.08,0.663,8.7,128272320.38,120130698.42,16254.21,
Espinosa,3124302,espinosense,NILSON FABER SEPULVEDA,1868.970,30443,16.29,31385,100,0.627,2.73,147638599.22,156388731.07,11517.31,
Esp&iacute;rito Santo do Dourado,3124401,douradense,H&Eacute;RICA ALVARENGA,263.879,6611,25.05,7007,98.5,0.685,9.26,46495868.84,41440900.66,25854.33,
Estiva,3124500,estivense,V&Aacute;GNER AB&Iacute;LIO BELIZ&Aacute;RIO,243.872,11502,47.16,11836,99.37,0.691,37.88,66717532.68,59312624.11,52723.75,
Estrela Dalva,3124609,estrela-dalvense,DIEGO COUTINHO DA COSTA,131.365,2186,16.64,2204,100,0.710,-,30313658.37,26357547.07,18586.66,
Estrela do Indai&aacute;,3124708,estrelense,JURACI FRANCISCO SANTANA,635.981,2772,4.36,2750,100,0.676,-,32222373.96,26179552.4,47456.81,
Estrela do Sul,3124807,estrela-sulense,SEBASTI&Atilde;O DA SILVEIRA,822.454,6840,8.32,6926,100,0.696,15.63,62354405.57,55795433.76,43679.34,
Eugen&oacute;polis,3124906,eugenopolense,JUAREZ LUIZ BREIJ&Atilde;O,309.395,10801,34.91,11075,100,0.675,10,59194621.74,51353277.37,19487.85,
Ewbank da C&acirc;mara,3125002,ewbanquense,CARLOS MARIANO FERREIRA,103.834,3875,37.32,3977,96.46,0.676,28.57,40753492.75,39754007.87,13825.96,
Extrema,3125101,extremense,FABR&Iacute;CIO SANCHEZ BERGAMIN,244.575,53482,218.67,57913,99.59,0.732,8,730128761.44,645949046.9,362591.97,
Fama,3125200,famense,ALEXANDRE ELLER DE SOUZA,86.024,2578,29.97,2662,100,0.717,-,33203090.11,26573047.68,24698.85,
Faria Lemos,3125309,faria-lemense,GILBERTO DAMAS DE SOUSA,165.224,3188,19.30,3239,100,0.687,-,32321323.76,32512573.17,20105.49,
Fel&iacute;cio dos Santos,3125408,feliz-santense,WENITON WILLIAM FRANCA,357.622,5133,14.35,5248,99.19,0.606,16.95,44921264.02,43139327.59,15837.34,
S&atilde;o Gon&ccedil;alo do Rio Preto,3125507,s&atilde;o-gon&ccedil;alense,DILSON DE F&Aacute;TIMA MOREIRA,314.458,3032,9.64,3098,100,0.640,-,35103372.26,31189328.14,15341.2,
Felisburgo,3125606,felisburguense,IDEUVAN DE SOUZA AVELAR,596.215,6489,10.88,6592,97.33,0.583,-,49251728.04,47874871.59,10030.05,
Felixl&acirc;ndia,3125705,felixlandense,CONCEI&Ccedil;&Atilde;O DE F&Aacute;TIMA BERNADINO LEITE,1554.627,13978,8.99,14279,98.9,0.648,-,141165701.35,117878024.89,18106.34,
Fernandes Tourinho,3125804,fernandes-tourinhense,JO&Atilde;O ROBERTO DA FONSECA,151.875,2789,18.36,2825,100,0.646,-,32628542.43,28766439.89,13101.7,
Ferros,3125903,ferrense,CARLOS ELISIO DE OLIVEIRA,1088.791,9590,8.81,9666,99,0.603,-,51571934.17,50340763.29,15447.38,
Fervedouro,3125952,fervedourense,CARLOS COR&Iacute;NDON DE ARA&Uacute;JO,357.683,10445,29.20,10693,99.8,0.580,6.94,64416166.19,60945706.8,14134.11,
Florestal,3126000,florestalense,WAGNER DOS SANTOS JUNIOR,194.242,8045,41.42,8386,99.12,0.724,11.9,80078945.18,48061768.04,18785.7,
Formiga,3126109,formiguense,LAERCIO DOS REIS GOMES,1501.915,68248,45.44,70668,100,0.755,11.9,412689054.24,403999677.38,32581.52,
Formoso,3126208,formosense,DINARTE HENRIQUE GUEDES DE ORNELAS,3686.004,7949,2.16,8103,100,0.640,11.24,66176123.78,58895463.85,32101.59,
Fortaleza de Minas,3126307,fortalezense,MARCIO DOMINGUES DE ANDRADE,218.792,3477,15.89,3485,100,0.670,-,31265411.61,29413450.67,24956.6,
Fortuna de Minas,3126406,fortunense,CLAUDIO GARCIA MACIEL,198.665,3093,15.57,3207,100,0.696,-,84212795.25,72829068.97,17170.82,
Francisco Badar&oacute;,3126505,badarosense,ANTONIO REGINALDO MARTINS MOREIRA,461.481,7366,15.96,7208,99.09,0.622,-,49872166.01,46917037.99,7546.65,
Francisco Dumont,3126604,francisco-dumonsense,NILSON JOS&Eacute; DE AZEVEDO,1576.128,4503,2.86,4564,100,0.625,20.83,43173450.28,41462084.07,14352.6,
Francisco S&aacute;,3126703,francisco-saense,ALINI FERNANDA BICALHO NORONHA,2747.295,23476,8.55,23819,99.43,0.654,-,139493478.9,131607817.36,17077.75,
Francisc&oacute;polis,3126752,franciscopolitano,NILTON DOS SANTOS COIMBRA,717.087,5034,7.02,5062,91.32,0.603,16.67,41371475.28,38086323.63,19449.13,
Frei Gaspar,3126802,frei-gasparense,JACKELINY PEREIRA DO NASCIMENTO,626.672,5640,9.00,5741,100,0.590,20.41,65728376.45,60215119.8,13674.68,
Frei Inoc&ecirc;ncio,3126901,frei-inocenciano,JIMMY DUTRA GOULART,469.557,8226,17.52,8334,98.61,0.648,11.9,56454776.69,52708319.24,15488.87,
Frei Lagonegro,3126950,frei lagonegrense,EDNEZIO SILVA DOS SANTOS,167.474,3391,20.25,3475,99.59,0.543,-,32725446.17,33736891.07,10171.36,
Fronteira,3127008,fronteirense,S&Eacute;RGIO PAULO CAMPOS,199.987,14540,72.70,14909,98.76,0.684,15.87,115154500.87,110388747.37,49568.1,
Fronteira dos Vales,3127057,fronteirista-dos-vales,ADAILTON RODRIGUES DA SILVA,320.757,4345,13.55,4405,98.3,0.592,22.73,36323513.85,35596244.03,10777.9,
Fruta de Leite,3127073,fruta de leitense,NIXON MARLON GON&Ccedil;ALVES DAS NEVES,762.837,4647,6.09,4607,99.57,0.544,-,40315544.38,37456878.23,8999.57,
Frutal,3127107,frutalense,BRUNO AUGUSTO DE JESUS FERREIRA,2426.965,58588,24.14,60942,98.57,0.730,10.25,374444188.38,339816941.82,40872.58,
Funil&acirc;ndia,3127206,funilandense,JOS&Eacute; IN&Aacute;CIO PEREIRA,199.797,4686,23.45,4886,100,0.655,-,49768381.31,44642184.87,18794.03,
Galil&eacute;ia,3127305,galileense,MARIA AUREA DA COSTA PEREIRA,720.303,6222,8.64,6281,99.07,0.654,25,41836382.92,38745442.27,16814.67,
Gameleiras,3127339,gameleirense,CARLOS DE OLIVEIRA PRIMO,1733.203,4793,2.77,4863,100,0.650,-,43799913.74,41982491.8,11278.35,
Glaucil&acirc;ndia,3127354,glaucilandense,HERIVELTO ALVES LUIZ,145.861,2928,20.07,2991,100,0.679,-,32215749.15,27917429.38,12945.77,
Goiabeira,3127370,goiabeirense,SAMUEL FERREIRA DA SILVA,112.443,2830,25.17,2869,97.56,0.647,-,37009735.95,33139559.65,14670.26,
Goian&aacute;,3127388,goianaense,PAULO ROBERTO DE ASSIS,152.039,4053,26.66,4190,99.5,0.716,28.57,40493935.14,37111787.09,15513.28,
Gon&ccedil;alves,3127404,gon&ccedil;alvense,MARCIO DONIZETTI DE OLIVEIRA,187.353,4727,25.23,4891,100,0.683,-,47244259.94,37304080.16,21624.99,
Gonzaga,3127503,gonzaguense,EFIGENIA MARIA MAGALH&Atilde;ES,209.348,5230,24.98,5271,96.34,0.606,-,41098097.98,37789086.43,11153.48,
Gouveia,3127602,gouveiano,ALBERIS DE OLIVEIRA,866.601,11331,13.08,11549,99.62,0.681,8,72887341.82,69531901.66,16842.21,
Governador Valadares,3127701,valadarense,SANDRO LUCIO FONSECA,2342.376,257171,109.79,266649,98.43,0.727,18.36,2094349605.53,2008615080.49,26165.06,
Gr&atilde;o Mogol,3127800,gr&atilde;o-mogolense,DI&Ecirc;GO ANTONIO BRAGA FAGUNDES,3885.294,13901,3.58,14091,99.02,0.604,8.06,100829118.64,106013060.81,48352.82,
Grupiara,3127909,grupiarense,ROG&Eacute;RIO HONORATO MACHADO,193.141,1392,7.21,1426,100,0.731,-,35608242.91,32049615.45,31890.41,
Guanh&atilde;es,3128006,guanhanense,EVANDRO LOTT MOREIRA,1075.124,32244,29.99,33434,99.54,0.686,11.6,221337674.21,209979037.18,28633.61,
Guap&eacute;,3128105,guapense,RANDERSON RIBEIRO,934.345,13772,14.74,14073,98.68,0.679,7.75,109808683.39,101995402.67,27386.89,
Guaraciaba,3128204,guaraciabense,BRUNO OLIVEIRA DE ANDRADE,348.596,9753,27.98,9921,100,0.623,28.99,50394210.44,45106464,11179.62,
Guaraciama,3128253,guaraciamense,JOS&Eacute; MARIA FIGUEIREDO SOBRINHO,390.263,5051,12.94,5203,100,0.677,-,37551945.27,35649836.04,15589.72,
Guaran&eacute;sia,3128303,guaranesiano,JO&Atilde;O CARLOS MINCHILLO,294.828,19150,64.95,19611,100,0.701,10.05,110300855.82,97768890.07,28891.14,
Guarani,3128402,guaraniense,EMERSON PATRICK VIEIRA,264.194,7714,29.20,7780,99.35,0.677,-,53204696.12,52487344.35,19461.62,
